news article	Fluency	Conciseness	Descriptiveness	Novelty	Completeness	Referencing	Formality	Richness	Attractiveness	Technicality	Popularity	Subjectivity	Positive Emotion	Negative Emotion	Quality
SEATTLE (Reuters) - One of Boeings chief labor unions staged rallies in and around Seattle this week calling attention to a vote set for Monday that will show whether workers are willing to accept a less generous contract offered by Boeing Co or move closer to a strike.Hundreds of engineers and technicians marched at the companys two plants its downtown Seattle office and other facilities with signs saying Boeing: Hands Off My Healthcare and We Delivered. Will Boeing?It was the most visible sign of rising tension over contracts covering 23000 members of the Society of Professional Engineering Employees in Aerospace. The contracts which affect two bargaining units expire on October 6 and a separate vote would be needed to authorize a strike.Though the union is widely expected to vote down the current offer local officials and analysts consider a strike unlikely because both sides have so much to lose and workers can keep using the current contract even after it expires.Stan Sorscher a Speea labor representative and former engineer estimated the chance of a strike at 35 percent. Scott Hamilton managing director at consulting firm Leeham Co. said Boeing likely will make a second contract offer and that will restart negotiations.We believe we can get to an agreement said Doug Alder a Boeing spokesman. Nobody here is talking about a strike. Nobody wants that.Still officials and analysts say it is worrying that Boeings first offer is going to a vote amid worker rallies.REASONS TO AGREEBoeing has a backlog of 4057 orders and is racing to speed up its factories to make more jets especially 787 Dreamliners whose customers have been waiting through years of delays.Boeing also is deciding on specifications for a new derivative of its popular 777. And it needs engineers to help repair a number of 787s that rolled off the line with flaws and must be fixed before they can be delivered. While in limbo the jets weigh on Boeings financial performance analysts said.A strike by Speea would cripple Boeing said Ray Goforth Speeas executive director. They cannot deliver airplanes without our members who are involved in certifying jets before they go to customers.For the union a strike could reduce its relevance and its ranks which already are under pressure from retirement of senior workers and outsourcing.Boeing has moved large amounts of engineering work to its suppliers and aims to move more despite the technical problems and cost overruns that resulted from using foreign engineers for the 787. Various engineering groups did not coordinate well and key pieces such as wings did not work well and needed to be re-engineered.Boeing attributes those problems at least in part to flawed execution of the distributed engineering model not the model itself and says it will continue to tap engineers from anywhere even if not from Speeas mostly Puget Sound workforce.Goforth the Speea leader said the union could do damage without a strike by having engineers work-to-rule - refusing overtime and following all procedures.Boeing has more rules regulations and guidelines than any company Ive ever seen he said. If the employees start strictly complying with all of them youd see productions problems immediately and the employees would still be collecting paychecks.Investors and customers could lose in either scenario. Boeings stock price which closed at $69.60 on Friday up 12 percent in the last year likely would fall and plane deliveries would be delayed.I hope they resolve it Tim Clark president of Emirates airline Boeings biggest 777 customer with 75 unfilled orders said of the labor trouble while in Seattle on Thursday.I hope our orders and those of others help give them a way through.RETIREMENT EFFECTThe two sides face another issue: Age. More than 40 percent of Boeings engineers will be eligible to retire in five years.These experienced problem-solvers are referred to as the bow wave because once they depart Boeing has relatively few experienced engineers behind them to take over.Boeing actively recruits engineers at all levels. Our goal is to always retain the best talent and to hire the best talent Alder said.Yet engineers with experience working on several different jet programs will be harder to find once older workers retire.Engineering skill is fast dwindling across the aerospace and defense industries says Tom Captain an analyst at Deloitte. If you go to the website of any aerospace company youll see tons of openings for engineers. We cant fill the jobs that we need to fill right now.Using figures from Boeing Speea calculates that 42 percent of its engineers are age 50 or older and could retire starting at 55. Among the lower-paid technicians 56 percent are 50 or older.The recession kept older engineers working - a few are in their 70s and 80s. Now as the economy improves older workers will retire Captain predicts. The people who are most valuable and able to mentor and teach the younger ones are retiring because of age he says.Retirees also will push down the average wage of the remaining workers. The union says the average annual engineer income is $110000. That should fall in coming years since the average salary of new and re-hired engineers is $81000 according to Speeas calculations using records from Boeing.Each retiree-replacement is hired at a lower salary than the retiree they are replacing which drops the average salary of the entire unit slightly said Matt Kempf Speeas benefits director.MORE BARGAININGLocal officials say they are puzzled at how the situation has unfolded. Some compare the current tension to 2008 when they say Boeings Chicago leaders thought the offer to the machinists union would be accepted by members. The members soundly rejected it and later voted to go on a costly bitter 57-day strike.I think Chicago is making the same mistake with Speea said Hamilton at Leeham referring to the companys Midwestern headquarters. He thinks members will strongly reject the contract.Similarly the unions moves are seen as unusually strident. Boeings contract offers raises of 3.5 percent every year for engineers for four years. The offer also asks employees to pay more of the cost for healthcare - a concession many workers are making in an economy with unemployment above 8 percent.We would ask them to pay more and the company would also be paying more Alder said. Our goal is to maintain the current plan. Any increase in medical costs would be offset by the increase in salary.The union says the contract also would allow Boeing to eliminate medical benefits for retired employees a charge Boeing denies.Boeing has no plans to eliminate retiree medical benefits for current retirees the company said. Alder said that questions about wording would have been discussed had the sides stayed at the bargaining table.The union says the tone of the talks changed after commercial airplanes chief Jim Albaugh a former engineer stepped down abruptly in June and was succeeded by Ray Conner a sales and support vice president. The union says it is now dealing mostly with negotiators from Chicago rather than local officials that they know.Boeing says the negotiating team is unchanged and the company is eager to resume talks right after Mondays vote to agree on a new contract.Well be waiting on the vote Alder said. If its No our number one goal is to get back to the table on Tuesday.(Reporting by Alwyn Scott Editing by Ed Tobin and Sandra Maler)	4	4	3	3	5	4	4	3	2	4	2	2	1	2	4
MIAMI (AP) � A Cuban-born jazz pianist and manager who helped popularize the cha-cha in the U.S. has been buried in Miami.Family members say Jose Curbelo was buried Monday. He died Friday morning at a hospice in Aventura. He was 95.Curbelo left Cuba in 1939. He worked with some of the greatest Latin music artists including percussionist Tito Puente.Amadito Valdes is a Cuban drummer and member of the Buena Vista Social Club. He says Curbelo was known as a great defender of Latin bands against abuse by promoters.Marta Curbelo said her father was a charmer with a big personality. She said he also had plenty of confidence in who he was and passed that along to her and her brother.	2	2	4	3	3	3	1	2	2	1	2	1	1	1	2
PRAGUE (Reuters) - The Czech government has imposed an immediate ban on all exports of hard liquor to the European Union following the death of 23 people from methyl alcohol poisoning Prime Minister Petr Necas said on Thursday.The Czech Republic banned all hard liquor sales in shops and pubs last Friday after the poisonings believed to come from bootleg alcohol. It plans to gradually reopen the domestic market from the middle of next week using new tax stamps and certifications of origin to secure the safe origin of drinks.(Reporting by Jan Lopatka)	3	2	4	3	1	1	2	2	2	1	3	1	1	3	2
PRAGUE (Reuters) - Czechs will hold their first presidential election on January 11 and 12 to replace outgoing euroskeptic leader Vaclav Klaus the speaker of the upper house of parliament said on Monday.Up to now the countrys parliament has chosen the president. But the assembly agreed to hand that power over to the electorate amid calls for more open democracy fuelled by a growing public perception of cronyism and corruption in the countrys political parties.Opinion polls suggest the leading candidates to replace Klaus are former prime ministers Milos Zeman and Jan Fischer in office from 1998-2002 and 2009-2010 respectively.Both men are much more in favor of closer cooperation with the European Union than Klaus. Both were members of then Czechoslovakias totalitarian Communist party before the collapse of the Soviet Union.Fischer is running as an independent candidate while Zeman has the support of a leftist SPOZ party a small splinter group from the center-left Social Democratic party he used to lead.Political analysts say their popularity is another reminder of the publics exasperation with the countrys larger mainstream parties following a round of harsh austerity measures and sleaze scandals.Czech presidents do not have the executive powers held by the leaders of France or the United States. But they wield significant influence over the cabinet and parliament through their ability to delay legislation and appoint prime ministers and other officials.The office held by anti-communist dissident and writer Vaclav Havel from 1990-2003 is held in high esteem in the country of 10.5 million people.Senate speaker Milan Stech said an anticipated second round run-off between the top two candidates for the presidency would take place two weeks after the first round of the election.(Reporting by Jan Lopatka Editing by Andrew Heavens)	4	4	4	4	4	3	3	3	2	2	2	2	2	2	4
NEW YORK (Reuters Health) - Adding a couple of servings of milk or yogurt to your daily diet probably wont help you drop any pants sizes according to a new analysis of past studies.Some research has suggested dairy products may help people feel full for longer or that the calcium in milk and yogurt can prevent the build-up of fat tissue. But those remain unproven theories.The results are not very consistent said Dr. Frank Hu a nutrition researcher from the Harvard School of Public Health in Boston who worked on the new review.Overall I think the evidence doesnt support the claim that dairy products are beneficial for weight loss he said.Hu and his colleagues analyzed the results of 29 studies including a total of 2101 participants some of whom were randomly assigned to add extra dairy to their diets.The set-ups of those studies varied widely with dairy intakes ranging from one to more than six servings per day and diet interventions lasting between one month and two years. Some studies put participants on a reduced-calorie diet to promote weight loss while others did not.On average people assigned to the extra-dairy groups lost 0.3 more pounds - about 0.14 kilograms - than the comparison group a difference that could have been due to chance. They did lose slightly more body fat - about one extra pound worth.When the researchers broke down the results further they found dairy products seemed to confer some benefit over the short term when they were part of a weight-loss diet. But otherwise adding more milk yogurt and cheese didnt help people lose weight or keep it off Hu and his colleagues reported in the American Journal of Clinical Nutrition.Angelo Tremblay an obesity researcher at Laval University in Quebec Canada said dairy products may still aid the weight-loss goals of people who arent getting much milk or yogurt in their current diet.Many studies which are used to discuss the issue were performed in normal calcium consumers� and then it is not so much a surprise to see that there is no effect or only a trivial effect Tremblay who wasnt involved in the new analysis told Reuters Health.It is always the same story he said. If you wish to measure the effect of physical activity in an already very active individual or active individuals you have more chance not to see any effect.Still even in dairy-deficient people adding a couple of extra milk or yogurt servings would only be expected to have a small impact on weight Tremblay said.The U.S. Department of Agriculture recommends teens and adults get three cups of low-fat or fat-free milk or yogurt per day. According to guidelines one cup of milk is also equivalent to one and a half ounces of natural cheese or two ounces of processed cheese.But that has to be incorporated into a generally healthy and balanced diet researchers said.The bottom line is still energy balance Hu told Reuters Health.For people hoping to control their weight I dont think its a good idea to add dairy on top of their diet he said. If their baseline dairy is low if they want to increase their dairy consumption they have to reduce something else such as sugar-sweetened drinks or less-healthy protein sources like processed meat.Making those healthier substitutions Hu added may not have a direct benefit on body weight but it certainly may have other health benefits.SOURCE: http://bit.ly/P674Eq American Journal of Clinical Nutrition online August 29 2012.	4	4	4	4	4	4	4	4	4	3	4	2	1	1	4
LOS ANGELES (TheWrap.com) - Daniel Craig Quentin Tarantino Trey Parker and Matt Stone and Will Wright will be honored at the 2012 BAFTA Los Angeles Britannia Awards on November 7 BAFTA Los Angeles announced on Wednesday.The awards will be handed out at the Beverly Hilton Hotel at a dinner ceremony celebrating the 25th anniversary of BAFTA Los Angeles the Anglo-American professional organization based in Los Angeles and affiliated with the British Academy of Film and Television Arts. For the first time the Britannia Awards will be broadcast on BBC America as a two-hour special on November 11.Craig who stars in the upcoming James Bond film Skyfall will receive the Britannia Award for British Artist of the Year. Tarantino whose Django Unchained opens in December will receive the John Schlesinger Britannia Award for Excellence in Directing.Parker and Stone the co-creators of South Park and of the Emmy-winning Broadway show The Book of Mormon will receive the Charlie Chaplin Britannia Award for Excellence in Comedy. Video game designer Wright will receive the Albert R. Broccoli Britannia Award for Worldwide Contribution to Entertainment.Additional honorees will be announced in coming weeks.The first Britannia Award went to James Bond producer Albert R. Cubby Broccoli in 1989. Other recipients include Warren Beatty Michael Caine Robert De Niro Colin Firth Tom Hanks Anthony Hopkins Stanley Kubrick Steven Spielberg Elizabeth Taylor Helen Mirren Kate Winslet and Denzel Washington.American Idol and So You Think You Can Dance producer Nibel Lythgoe serves as chairman of the Britannia committee.	3	4	3	3	3	4	2	2	3	2	4	1	2	1	3
WASHINGTON (AP) � A spate of data Thursday painted a mixed picture of the U.S. economy: Demand for long-lasting manufactured goods fell and slightly fewer people signed contracts to buy homes. At the same time the job market looked a little better.Taken together the reports suggest the economy is growing only modestly and not quickly enough to spur much hiring.The economy overall has only weak forward momentum Nigel Gault chief U.S. economist at IHS Global Insight said in a note to clients. The news from housing may be improving but manufacturing is struggling now.Most of the data seemed discouraging on the surface. But a closer inspection of the details offered some promise.� Companies cut orders for long-lasting goods by 13.2 percent in August the Commerce Department said. That was the biggest drop in more than three years but it was largely influenced by a 102 percent decline in volatile aircraft orders. Excluding transportation equipment orders fell only 1.6 percent. And in a positive sign orders in a category that reflect business investment plans rose 1.1 percent the first increase since May.� The overall economy grew at a 1.3 percent annual rate in the April-June quarter much lower than the 1.7 percent the government previously estimated. About half of the downward revision stemmed from the severe drought in the Midwest which cut overall farm output. But growth also fell because exports and consumer spending expanded at a slower pace.� The number of Americans who signed contracts to buy previously occupied homes fell in August from a two-year high in July. The National Association of Realtors said its index of sales agreements declined 2.6 percent to 99.2. Thats just below the reading of 100 that is considered healthy. Still the index is 10.7 percent higher than a year ago.Economists expect growth to hover near or below 2 percent for the rest of the year. Thats typically too weak to create enough jobs to lower the unemployment rate.One report appeared to offer some hope that the job market will improve.Weekly applications for unemployment benefits plunged 26000 to a seasonally adjusted 359000 the lowest level in two months the Labor Department said. The four-week average a less volatile measure fell to 374000.Applications are a measure of the pace of layoffs. When they consistently fall below 375000 it typically indicates that hiring is strong enough to lower the unemployment rate.The weekly figures can be volatile causing most economists to focus on the four-week average.Economists were mildly encouraged by the unemployment applications. Still many still expect the governments employment report for September to show only modest job gains perhaps about 100000. Thats about the same as in August. The September jobs report will be released next week.The September jobs report will be released next Friday.The past few reports on applications for unemployment benefits suggest no significant acceleration or deceleration in employment growth said Jim OSullivan an economist at High Frequency Economics.A survey of chief executives released Wednesday found a sharp drop in the number of large companies that plan to step up hiring or boost investment in the next six months. They cited worries over tax and budget policies in the United States and slower growth in Europe and China for the gloomier outlook.Some recent indicators have been more optimistic. Consumer confidence jumped to a seven-month high in September the Conference Board said Tuesday. Home prices are rising steadily nationwide. And sales of new homes remained near a two-year high in August the Commerce Department said Wednesday.	4	4	4	3	3	3	2	3	3	2	3	1	1	1	3
NEW YORK (AP) � Dave Grohl says his band Foo Fighters is officially taking a break.Grohl sent an open letter Tuesday calling the band my life but noting its a good thing for all of us to go away for a while.Grohl told fans Saturday at the Global Citizen Festival he didnt know when the band would play together again and affirmed that in the letter.He created Foo Fighters in 1994 after his time as the drummer in Nirvana recording the bands self-titled debut before inviting other members to join. The band has been one of rock n rolls most enduring critical and commercial successes winning 11 Grammys including five earlier this year.Grohl says hes now focused on his forthcoming Sound City documentary and album.___Online:http://foofighters.com	5	5	3	4	4	4	3	2	2	2	2	2	1	2	3
(Reuters) - A California jury on Friday recommended a death sentence for a man found guilty of starting a 2003 wildfire that burned nearly 100000 acres damaged more than 1000 homes and led to the deaths of five people prosecutors said.Rickie Lee Fowler 31 had already been convicted of arson and five counts of first-degree murder for the deaths of people prosecutors said lived in the fires path and died from heart attacks caused by the stress of evacuation and threats to their homes.We take capital punishment seriously. We dont seek capital punishment on every murder San Bernardino District Attorney Michael Ramos said. Its for those people who are most horrendous murderers rapists - people like Rickie Fowler.The death sentence recommendation on which the judge will make a final ruling at a later hearing comes just over a month before California voters will decide on a November ballot measure whether to repeal the death penalty in a state that is home to nearly a quarter of the nations death-row inmates.The October 2003 blaze that Fowler was convicted of starting called the Old Fire burned in the San Bernardino Mountains of Southern California eventually scorching 91281 acres.A 2009 grand jury indictment in the case determined that Fowler while not the actual killer of the five people started the fire with reckless indifference to human life.Prosecutors note that individuals who commit a serious violent felony - like robbery kidnapping or arson - that results in death are eligible for capital punishment.Jurors deliberated for 11 days during the trials penalty phase before returning a death sentence recommendation prosecutors said.While the death penalty remains on the books in California the state has executed just 13 people since reinstating capital punishment in 1978. More than 720 inmates sit on death row in California pending long expensive appeals.A federal judge halted all California executions in 2006 after ruling that a three-drug protocol used for lethal injections carried the risk of causing inmates too much pain and suffering before death.California has since revised its protocol but an appeals court has blocked a resumption of executions.Fowler had already been sentenced under Californias three-strikes law to 75 years to life in prison for committing sodomy against another inmate while behind bars prosecutors said.They added that he had prior convictions for rape and drug offenses. Fowlers defense attorney did not respond to requests for comment.(Editing by Cynthia Johnston and Peter Cooney)	3	3	3	4	3	4	4	4	2	3	3	1	4	3	4
DENVER COLO. � Forget expectations. Both President Barack Obama and Gov. Mitt Romney walk into their first debate with several significant vulnerabilities that the right question and right answer will either expose or cover. These are domestic policy vulnerabilities not characterological ones but they speak to character and mien. Well start with Obamas trouble spots.1. Mortgages. Why didnt he do more to make whole the nations record number of delinquencies? Why did he bail out the banks and not force them to use the money (because you know he did force them to use the money in certain ways) to settle with homeowners? Why have the administrations own programs been mired in bureaucracy? Why did it take him so long to create an investigatory task force on mortgage fraud? Did he pick the wrong people? If he had done things differently would the middle class be on a more hopeful trajectory?SEE ALSO: A premortem obituary for Romney is premature2. Raising taxes. Romneys budget-balancing plan is implausible. But Obamas is scarcely more realistic given his chief constraint which is that he will not raise taxes on those families earning more than $250000 a year. If he sticks to that whatever Congress does he is going to have to cut spending by a lot more than he currently intends to. The math for his deficit and debt projections doesnt add up unless all of the Bush tax cuts expire. Its also looking like the payroll tax cuts he trumpeted last year may be forced to go away. Taxes on families who make less than $250000 a year are going to rise.3. Health care. Over and over Obama reassured those folks with insurance plans they currently like that the Affordable Care Act wouldnt change their health payment arrangements. This was a technical truth that concealed a misdirection. It is very likely that insurance companies forced to offer new benefits will raise premiums on plans that are currently affordable or maybe insurance companies will eliminate certain unprofitable policies or decide they cant do business with certain companies. Its true that market forces would influence the options offered by insurance companies regardless of whether ObamaCare had passed but ObamaCare all but guarantees that every major insurance company is going to radically change the menu of plans it offers. Some people might wind up paying less but some will pay more. Arguably there is no way around this. Arguably if Obama had conceded to the American people that ObamaCare would indeed change their insurance policies in the future the bill would not have passed. I think the White House consciously decided to believe the technical truth because the real truth was so politically unpalatable� even though it may have been in pursuit of policies that lead to better outcomes for more people.SEE ALSO: Blame where there is none4. Medicare. The Romney-Ryan charge that ObamaCare slashes Medicare has been dealt with elsewhere but it is true that many health care providers might decide to pass along the costs they must bear to consumers and some or even a large minority may start refusing to see Medicare patients altogether because they cant afford to.5. Jobs. I dont think theres much Obama can do to create jobs in his second term. I dont think Obama thinks he can create jobs without a major bipartisan deficit reduction plan already in place. It remains a vulnerability because his campaign is (properly) bashing Romney for being vague. Obama has a record and that record is a proxy for his future intentions but it is not a sufficient answer to the jobs question. On the other hand I dont know if there is a sufficient answer to the jobs question.SEE ALSO: The president for the upper halfLater: Mitt Romneys vulnerabilities.View this article on TheWeek.com Get 4 Free Issues of The WeekOther stories from this section:	4	2	3	2	3	3	2	3	3	2	3	3	1	1	3
A Connecticut judge sought to break a tie between two primary candidates for the General Assembly by opening an uncounted sealed ballot in court Wednesday only to discover that the voter-once thought to be dead-had cast a ballot for a third candidate in the race.The absentee ballot which many believed would determine the race was originally set aside by election officials in the belief that the woman was deceased. Some searching revealed that the elderly woman was living in a nursing home and thus was eligible to vote.The hushed courtroom erupted into laughter on Wednesday according to the Hartford Courant after weeks of suspense courtroom drama and fierce debate ended and it was revealed that the vote would remain deadlocked and a new election would still be necessary.Election officials had twice recounted the votes in a Democratic primary for the 5 th General Assembly District an area that includes Hartford and Windsor before Wednesdays proceedings.Following the initial count on election night on Aug. 14 candidates Brandon McGee and Leo Canty were tied with 774 votes a piece.According to state election officials a new vote could have been ordered then if all parties agreed. Instead McGee demanded a recount according to Av Harris spokesman for the Connecticut secretary of state. The results of that count put Canty ahead by one vote leading McGee to sue.The judge ordered a second recount resulting in the discovery of two previously uncounted ballots. One ballot cast a vote for McGee leading again to a tie. The second ballot was marked deceased and that was the one opened in court.Judge A. Susan Peck on Tuesday ordered that the name of the voter would not be made public to keep her vote secret. She opened the ballot in court revealing a vote for Windsor Mayor Donald Trinks who finished a distant third.The court has to balance the privacy rights of the voter against the rights of the voters of the 5th District to have the race determined Peck said according to the Courant.It is pretty ironic said Harris whose office certifies elections in the state. This could have been resolved three weeks after the election with a revote. Now were just doing it anyway only two months later.Judge Peck ordered a new election. Officials say that vote will be held Oct. 2 and only those voters who previously cast ballots will be allowed to participate.	3	3	3	3	4	4	3	2	3	2	3	1	2	2	3
The siren call of the American dream may not be as powerful as it once was but we are still a nation of believers new research shows. Like the American population the demographics of those who believe in the dream have changed over time. But the majority of us still believe the U.S. is a place where anyone can achieve fame and fortune.In fact fame and fortune have replaced faith and family as the linchpins of the American dream a survey of more than 500 U.S. adults over 18 discovered. The survey was conducted by JWT a marketing communications company.Almost two-thirds of Americans said the dream is different from what it used to be. The country is moving away from traditional notions of the ideal life � one centered around community and family with religious faith and middle-class values as the guiding ethos � toward one focused on making and spending money and winning recognition the survey found.While the dream is very much alive and attainable achieving it is more of a challenge the survey found. Almost 7 in 10 respondents said the dream became harder to realize for middle-class people in the past five to 10 years up from 4 in 10 in 2008. And some hold the conviction that white native-born Americans have the cards stacked against them even though statistics indicate otherwise.The exceptionalism of the American dream is also being questioned by younger Americans. While a majority of older generations believe the dream is unique only 4 in 10 millennials hold that view.Despite everything though belief in the dream endures dented though it may be.While the dream is losing its luster and Americans recognize that its becoming significantly harder to achieve the concept endures 7 in 10 still believe in the idea not much fewer than in 2008 said Ann Mack JWTs director of trendspotting.Reach BusinessNewsDaily senior writer Ned Smith at nsmith@techmedianetwork.com. Follow him on Twitter @nedbsmith. Were also on Facebook & Google+.	4	4	2	3	3	3	3	3	4	2	3	1	2	2	3
NEW CASTLE Del. (AP) � State economic development officials are considering whether to approve a bond issue of up to $20 million for the Delaware Military Academy.Proceeds from the bond issue would be used to make a loan to the charter school for a variety of projects including buying about 7.5 acres of adjacent land adding science classroom space and building a new gym and auditorium complex and athletic fields.The Council on Development Finance was to consider the proposal at its meeting Monday.Other agenda items include the Food Bank of Delawares request for a $1.1 million grant to support expansion of its Milford facility.Kentucky-based Ashland Inc. which acquired Wilmington-based specialty chemicals maker Hercules Inc. in 2008 is asking for a $10 million grant to expand and renovate its Wilmington campus.	3	5	2	2	2	2	3	3	2	3	2	1	1	1	2
WASHINGTON (AP) � Clint Eastwood has taken a lot of barbs over his empty chair routine at the Republican National Convention but Denzel Washington still holds the film legend in high regard.I have the utmost respect for him as an actor and as a director Washington said. Hes my hero.Although Washington supported Obama in 2008 he graciously declined to address an empty chair or do any Eastwooding as its come to be known on the Internet. He calls himself an independent and said in this election he isnt committing to either side.I listen to both sides of the argument and try to make an assessment he said.Washington was in the nations capital along with Olympic champion Michael Phelps and R&B singer Ashanti for an event sponsored by the Boys and Girls Club of America.	3	4	4	2	2	2	3	3	3	2	3	2	2	1	3
FRANKFURT (Reuters) - Deutsche Bank AG expects to see one-off costs in the third quarter linked to its job cuts litigation expenses and the reduction of risk-weighted assets Co-Chief Executive Anshu Jain told a financial conference.Jain reiterated that Germanys largest bank had seen solid performance in the third quarter particularly in investment banking.On the revenue side we are in line but we definitely have headwinds on the cost side Jain told the conference in London which was monitored over the Internet.To free up equity capital Deutsche plans to slash risk weighted assets by about 90 billion euros ($117 billion) by the end of the first quarter 2013. Deutsche reckons with costs of around half a billion euros as a result Jain said.Germanys flagship lender plans to cut more than 1900 jobs mainly in investment banking and is also battling law suits by investors and regulators.Deutsche aims to save about 4.5 billion euros in costs by 2015 to steer against the loss of profitability and tougher international regulation of banks in the wake of the financial crisis.(Reporting by Philipp Halstrick writing by Jonathan Gould Editing by Bernard Orr)	3	5	3	3	3	3	3	3	2	4	2	1	1	2	3
Watch out Justin Bieber: Babel the latest LP from the blandly inoffensive English folk rockers Mumford & Sons is projected to sell as many as 600000 copies this week � nearly twice as many as Biebers latest CD Believe which has held the 2012 record since its release in June. (Listen to I Will Wait the first single from Babel below.) Over the past year Mumford & Sons has earned a devoted following in the U.S. but few would have predicted that their CD would outsell new albums by mega-artists like Green Day and Madonna � let alone dethrone the king of tween pop. Why is this unassuming English folk band setting record-breaking sales? Here four theories:1. Their digital sales are spectacularThe total LP sales are impressive says Chris Martins at Spin but theres another key part of the story: Digital sales are booming. Its likely that Babel will earn the second-highest number of weekly sales for a digital album ever (behind Lady Gagas Born This Way). The success of Mumford & Sons is proof that bands can thrive in a digital-centric music industry.2. Theyve had an unusually savvy promotional tourSeptember has been kind to Mumford & Sons says The Huffington Post. Theyve spent the weeks leading up to Babels release doing what they do best: Performing live including a one-hour show on Live on Letterman. And their biggest recent appearance? A high-profile gig on last weekends Saturday Night Live highlighting two well-received songs from the new album.3. They dont rely on singlesThe band may have broken through with Little Lion Man a single from their first album but theyve since been able to cultivate fans who want to hear their complete body of work says Melinda Newman at Hitfix. Mumford & Sons has more in common with artists like Radiohead or Coldplay who dont depend on Top 40 or radio support than artists like Rihanna or Katy Perry who have built their careers on radio-friendly singles.4. Their music is upliftingMumford & Sons is essentially Tim Tebow in an indie-rock context says Steven Hyden at Grantland. In both music and personality frontman Marcus Mumford exudes a wholesome inspirational warmth with lyrics that dismiss cynicism and encourage hope. The band hits the sweet spot between the rustic introspection of Bon Iver and the rabble-rousing scrappiness of early Avett Brothers creating an inoffensive accessible album that has plenty of mass appeal.SEE ALSO: Gangnam Style: The 8 best parodies of the viral videoView this article on TheWeek.com Get 4 Free Issues of The WeekOther stories from this section:	4	4	3	3	3	3	3	4	3	1	3	2	2	1	3
MADRID (AP) � It appears on T-shirts and cellphone covers coffee mugs and wine labels. You can even use it as an avatar in online games.The church fresco of Christ in the town of Borja was for decades a little-known piece of religious art by a minor Spanish artist. Now that its been disfigured in a botched restoration attempt revealed a month ago it has found a new fate as a global icon � used to sell products around the world.And Cecilia Gimenez the 80-year-old pensioner behind the disastrous touch-up is exploring her intellectual property rights.The fresco depicts Christ with a crown of thorns before crucifixion in a style style known as Ecce Homo (Behold the Man). It stood in peaceful obscurity in the Misericordia Sanctuary since its creation in 1930 � until Gimenez a longtime devotee of the work decided it needed to be rescued from flaking caused by the damp church air.The result was so awful that it could only be destined for one thing: worldwide fame.The solemn Ecce Homo quickly took on a less dignified identity as Ecce Mono. Behold the Monkey.Gimenez has gone into hiding in her hometown of Borja about a four-hour drive from Madrid to avoid countless international media interview requests. The town itself has morphed into a tourism destination for people who want to see her restoration. The crush has been so big that the Santi Spiritus foundation that owns the Misercordia church and sanctuary recently started charging admission: one euro per visitor.Meanwhile Internet entrepreneurs have quickly moved in to cash in on the phenomenon printing Ecce Mono on a seemingly endless range of products to sell online.Gimenez lawyers say she has no interest in a cut of what the foundation is charging people to see the fresco. But they are gearing up to put a stop to potential copyright violations of what she created � even though she had not set out to create anything at all.We want to put some order to this anarchy said Antonio Val Carreras Rivera one of her lawyers. You do this little by little under legality and our job is to coordinate to prevent third parties from profiting. We are at the beginning now we cant say if she has rights.If the lawyers determine she does Gimenez could pursue payments from those using the image to sell products Carreras Rivera said adding that whatever she earns will go to charity. Shes most interested in funding groups that help people with congenital muscular dystrophy because she has a son with the disorder.While Gimenez lawyers research her legal rights the Sancti Spiritus foundation is stuck in its own legal bind about what to do with the fresco. Should it restore the painting to its original state? Or leave Gimenez image on the church walls? Or try as experts say is possible to separate the two?Gimenez herself is thankful for the many messages of support shes received from around the world her lawyers said in a statement. And she regrets and deplores that commercial brands are financially exploiting a situation that began in total good faith and which should be restricted to the human level beyond business or commercial interests the statement said.The nonprofit Sancti Spiritus foundation plans to seek a second opinion from art experts on what to do about the painting before getting the view of lawyers said foundation president Francisco Miguel Arilla who is also the mayor of Borja population about 5000.Everyone wants to solve this but no one knows the solution Arilla said.While Gimenez could end up with ownership of what she painted on top of the fresco the foundation isnt sure who owns the original. Its either the foundation or the 16 grandchildren of the painter. And Martinez heirs live all across Spain Arilla said. This seems like its going to be a long process Arilla said.Meanwhile Borja is trying to cope with its newfound fame. While known for its wine this is the first time its ever been a big tourism draw.The influx of visitors hasnt shown any sign of letting up since news of the fresco rocketed around the world Arrilla said. About 1000 people paid admission last weekend and the number of visitors has averaged 100 daily this week. The charge was put in place to cover the cost of additional workers needed at the sanctuary to manage the crowds.I thought this would slow down by now but we still have a steady flow of people Arilla said.	4	4	3	4	4	4	3	4	3	2	4	2	2	2	4
